1.0000         0
0.9989   -0.0114
0.9972   -0.0222
0.9951   -0.0315
0.9926   -0.0408
0.9895   -0.0501
0.9872   -0.0558
0.9797   -0.0728
0.9735   -0.0850
0.9649   -0.0998
0.9547   -0.1147
0.9400   -0.1329
0.9236   -0.1498
0.9039   -0.1667
0.8724   -0.1887
0.8393   -0.2082
0.8081   -0.2249
0.7824   -0.2381
0.7461   -0.2561
0.6998   -0.2767
0.6553   -0.2929
0.5846   -0.3129
0.5292   -0.3250
0.4776   -0.3328
0.4297   -0.3365
0.3767   -0.3365
0.3312   -0.3328
0.2772   -0.3231
0.2308   -0.3099
0.1786   -0.2892
0.1344   -0.2641
0.0953   -0.2311
0.0618   -0.1887
0.0418   -0.1546
0.0275   -0.1244
0.0160   -0.0940
0.0097   -0.0728
0.0053   -0.0536
0.0023   -0.0352
0.0006   -0.0190
0.0000   0.00000
0.0013    0.0266
0.0051    0.0528
0.0110    0.0783
0.0203    0.1078
0.0377    0.1487
0.0585    0.1848
0.0811    0.2146
0.1074    0.2410
0.1434    0.2677
0.1786    0.2872
0.2282    0.3079
0.2750    0.3222
0.3280    0.3328
0.3734    0.3375
0.4132    0.3385
0.4567    0.3367
0.4989    0.3322
0.5491    0.3237
0.6033    0.3109
0.6515    0.2962
0.7038    0.2765
0.7586    0.2518
0.7932    0.2350
0.8324    0.2146
0.8686    0.1937
0.9064    0.1675
0.9366    0.1406
0.9547    0.1205
0.9670    0.1044
0.9768    0.0898
0.9837    0.0783
0.9902    0.0663
0.9942    0.0566
0.9961    0.0493
0.9982    0.0384
0.9997    0.0266
1.0000         0
